iter	Logloss	Accuracy
0	0.5789686469	0.768852459
1	0.5258229484	0.768852459
2	0.487043149	0.7737704918
3	0.4660942764	0.7983606557
4	0.445861848	0.8147540984
5	0.4305628139	0.8213114754
6	0.4155288416	0.8196721311
7	0.4046121997	0.8196721311
8	0.3967639636	0.8229508197
9	0.3905535749	0.8213114754
10	0.3841079501	0.8327868852
11	0.3764831725	0.8409836066
12	0.3703384267	0.8393442623
13	0.3661583486	0.8426229508
14	0.3584186512	0.8475409836
15	0.3495537073	0.8540983607
16	0.3423411182	0.8606557377
17	0.3371177352	0.8672131148
18	0.3290705742	0.8704918033
19	0.3225786119	0.8737704918
20	0.315726942	0.8803278689
21	0.3108446587	0.8852459016
22	0.3052130409	0.8901639344
23	0.3027936586	0.893442623
24	0.2982858286	0.8950819672
25	0.2905213073	0.8983606557
26	0.2873050249	0.8967213115
27	0.2827989066	0.9032786885
28	0.2775699078	0.9016393443
29	0.2752457037	0.9032786885
30	0.2735096186	0.9032786885
31	0.2672703004	0.9049180328
32	0.2641933764	0.906557377
33	0.2593068767	0.9131147541
34	0.2576998608	0.9147540984
35	0.2547342827	0.9131147541
36	0.25373	0.9196721311
37	0.2497032384	0.9213114754
38	0.2474337069	0.9229508197
39	0.2438830442	0.9229508197
40	0.2394718332	0.9278688525
41	0.2368173067	0.9278688525
42	0.2348259764	0.9245901639
43	0.2316636963	0.9295081967
44	0.2255745001	0.9295081967
45	0.2225157615	0.9344262295
46	0.2211362885	0.9360655738
47	0.2209521867	0.937704918
48	0.219776767	0.9393442623
49	0.2158460523	0.9393442623
